timestamp,document_no,vendor_no,vendor_invoice_no,status,error
2025-05-19T16:13:23.469834,FCA25000645,FN0000039,FT 100006729/029690,P,
2025-05-19T16:14:19.792629,FCA25000645,FN0000039,FT 100006729/029690,P,
2025-05-19T16:14:19.912638,FCA25000646,FN0000039,FT 100006729/034348,P,
2025-05-19T16:15:16.145542,FCA25000646,FN0000039,FT 100006729/034348,P,
2025-05-19T16:33:10.363542,,,FR - Mai25 - Antas da Cunha.pdf,X,No QR code found
2025-05-19T16:33:20.427298,,,Skillsworkflow 108.pdf,X,No QR code found
2025-05-19T16:33:22.761137,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160157.pdf,X,No QR code found
2025-05-19T16:33:23.048207,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160368.pdf,X,No QR code found
2025-05-19T16:33:23.343211,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160432.pdf,X,No QR code found
2025-05-19T16:33:23.678531,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160455.pdf,X,No QR code found
2025-05-19T16:33:23.994101,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160513.pdf,X,No QR code found
2025-05-19T16:33:24.285790,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160535.pdf,X,No QR code found
2025-05-19T16:33:35.313940,,,CONTRATO 0-014 DELL TECHNOLOGIES.pdf,X,No QR code found
2025-05-19T16:33:45.522792,,FR ATSIRE01FR/8,documento - 2025-05-06T183032.771.pdf,Y,Invalid vendor
2025-05-19T16:33:45.522792,,FR ATSIRE01FR/128,documento - 2025-05-06T185730.357.pdf,Y,Invalid vendor
2025-05-19T16:33:45.524350,,FR ATSIRE01FR/62,documento - 2025-05-06T185735.324.pdf,Y,Invalid vendor
2025-05-19T16:33:45.524350,,FT FAR.2025/8,FAR 8_ADCECIJA_Antas da Cunha Ecija.pdf,Y,Invalid vendor
2025-05-19T16:33:45.525363,,FT D33-D/10971,FATURA N. 10971.pdf,Y,Invalid vendor
2025-05-19T16:33:45.526356,,FT FA.2025A/5043,515673471FA2025A5043.pdf,Y,Invalid vendor
2025-05-19T16:33:45.526356,,FT FA.2025/2507,FA20252507.pdf,Y,Invalid vendor
2025-05-19T16:35:37.063439,FCA25000647,265783895,FR ATSIRE01FR/15,P,
2025-05-19T16:36:34.601331,FCA25000647,265783895,FR ATSIRE01FR/15,Z,LINE1 post failed
2025-05-19T16:36:34.762636,FCA25000648,234056827,FR ATSIRE01FR/15,P,
2025-05-19T16:37:35.328284,FCA25000648,234056827,FR ATSIRE01FR/15,Z,LINE1 post failed
2025-05-19T16:37:35.463435,FCA25000649,224529811,FR ATSIRE01FR/15,P,
2025-05-19T16:42:08.415872,,,FR - Mai25 - Antas da Cunha.pdf,X,No QR code found
2025-05-19T16:42:19.123594,,,Skillsworkflow 108.pdf,X,No QR code found
2025-05-19T16:42:21.909470,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160157.pdf,X,No QR code found
2025-05-19T16:42:22.189673,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160368.pdf,X,No QR code found
2025-05-19T16:42:22.474754,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160432.pdf,X,No QR code found
2025-05-19T16:42:22.803747,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160455.pdf,X,No QR code found
2025-05-19T16:42:23.103673,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160513.pdf,X,No QR code found
2025-05-19T16:42:23.383694,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160535.pdf,X,No QR code found
2025-05-19T16:42:33.763662,,,CONTRATO 0-014 DELL TECHNOLOGIES.pdf,X,No QR code found
2025-05-19T16:42:42.538919,,FR ATSIRE01FR/8,documento - 2025-05-06T183032.771.pdf,Y,Invalid vendor
2025-05-19T16:42:42.538919,,FR ATSIRE01FR/128,documento - 2025-05-06T185730.357.pdf,Y,Invalid vendor
2025-05-19T16:42:42.538919,,FR ATSIRE01FR/62,documento - 2025-05-06T185735.324.pdf,Y,Invalid vendor
2025-05-19T16:42:42.538919,,FT FAR.2025/8,FAR 8_ADCECIJA_Antas da Cunha Ecija.pdf,Y,Invalid vendor
2025-05-19T16:42:42.538919,,FT D33-D/10971,FATURA N. 10971.pdf,Y,Invalid vendor
2025-05-19T16:42:42.543968,,FT FA.2025A/5043,515673471FA2025A5043.pdf,Y,Invalid vendor
2025-05-19T16:42:42.543968,,FT FA.2025/2507,FA20252507.pdf,Y,Invalid vendor
2025-05-19T16:43:46.203800,FCA25000650,265783895,FR ATSIRE01FR/15,P,
2025-05-19T16:44:44.965789,FCA25000650,265783895,FR ATSIRE01FR/15,P,
2025-05-19T16:44:45.134746,FCA25000651,234056827,FR ATSIRE01FR/15,P,
2025-05-19T16:45:44.420691,FCA25000651,234056827,FR ATSIRE01FR/15,P,
2025-05-19T16:45:44.539838,FCA25000652,224529811,FR ATSIRE01FR/15,P,
2025-05-19T16:46:42.433901,FCA25000652,224529811,FR ATSIRE01FR/15,P,
2025-05-19T16:46:42.816912,FCA25000653,168284642,FR ATSIRE01FR/19,P,
2025-05-19T16:47:44.988424,FCA25000653,168284642,FR ATSIRE01FR/19,P,
2025-05-19T16:47:45.123088,FCA25000654,263447260,FR ATSIRE01FR/20,P,
2025-05-19T16:48:41.413155,FCA25000654,263447260,FR ATSIRE01FR/20,P,
2025-05-19T16:48:41.517188,FCA25000655,257700528,FR ATSIRE01FR/26,P,
2025-05-19T16:49:38.662677,FCA25000655,257700528,FR ATSIRE01FR/26,P,
2025-05-19T16:49:38.818633,FCA25000656,209407689,FR ATSIRE01FR/15,P,
2025-05-19T16:50:41.494555,FCA25000656,209407689,FR ATSIRE01FR/15,P,
2025-05-19T16:50:41.645895,FCA25000657,202304701,FR ATSIRE01FR/15,P,
2025-05-19T16:51:38.558710,FCA25000657,202304701,FR ATSIRE01FR/15,P,
2025-05-19T16:51:38.748664,FCA25000658,196906300,FR ATSIRE01FR/27,P,
2025-05-19T16:52:37.112945,FCA25000658,196906300,FR ATSIRE01FR/27,P,
2025-05-19T16:52:37.361973,FCA25000659,181744848,FR ATSIRE01FR/15,P,
2025-05-19T16:53:35.106258,FCA25000659,181744848,FR ATSIRE01FR/15,P,
2025-05-19T16:53:35.239979,FCA25000660,265116171,FR ATSIRE01FR/15,P,
2025-05-19T16:54:36.266555,FCA25000660,265116171,FR ATSIRE01FR/15,P,
2025-05-19T16:54:36.490402,FCA25000661,199972109,FR ATSIRE01FR/15,P,
2025-05-19T16:55:39.668785,FCA25000661,199972109,FR ATSIRE01FR/15,P,
